type,text,core,criteria,overwrite
section,ตอนที่ 1. การตรวจร่างกาย (45 คะแนน),,,
item,1.1 ขออนุญาตผู้ป่วยก่อนตรวจร่างกาย (เกณฑ์ ศรว.),2 0,,
item,1.2 ตรวจร่างกายอย่างสุภาพนุ่มนวล (เกณฑ์ ศรว.),2 0,,
item,1.3 สื่อสารเป็นระยะขณะตรวจร่างกาย (เกณฑ์ ศรว.),2 0,,
item,1.4 คลำชีพจรรายงาน pulse rate และ rhythm (regular/irregular),6 3 0,,
sub,"    (ตอบสมบูรณ์ ให้ 6 คะแนน, ไม่สมบูรณ์ ให้ 3 คะแนน)",,,
item,1.5 ตรวจตา,9 6 3 0,3 2 1 0,
criteria,     Exophthalmos,1,,
criteria,     Lid lag,1,,
criteria,     Lid retraction ,1,,
sub,    (ข้อละ 3 คะแนน),,,
item,1.6 ตรวจต่อมไทรอยด์ ,9 6 3 0,3 2 1 0,
criteria,     คลำต่อมไทรอยด์ถูกตำแหน่ง,1,,
criteria,     พูดว่าให้ผู้ป่วยกลืนน้ำลาย,1,,
criteria,     ฟัง thyroid bruit,1,,
sub,    (ข้อละ 3 คะแนน),,,
item,1.7 ตรวจระบบประสาท,6 3 0,2 1 0,
criteria,     Fine tremor,1,,
criteria,     Proximal muscle weakness,1,,
sub,    (ข้อละ 3 คะแนน),,,
item,1.8 ตรวจ skin และ extremities ,9 6 3 0,3 2 1 0,
criteria,     Moist skin,1,,
criteria,    Onycholysis หรือ finger clubbing ,1,,
criteria,     Pretibial myxedema,1,,
sub,    (ข้อละ 3 คะแนน),,,
section,ตอนที่ 2. การวินิจฉัยและแนะนำแนวทางการรักษา (40 คะแนน),,,
item,2.1 แจ้งวินิจฉัยภาวะไทรอยด์เป็นพิษ (Graves’ disease),4 0,,
item,2.2 อธิบายเกี่ยวกับตัวโรค,4 2 0,2 1 0,
criteria,     เกิดจากการที่ร่างกายมีภูมิคุ้มกันผิดปกติ,1,,
criteria,     กระตุ้นให้ไทรอยด์ทำงานมากผิดปกติ/ฮอร์โมนมากผิดปกติ,1,,
item,2.3 แจ้งทางเลือกของการรักษา ,6 4 2 0,3 2 1 0,
criteria,     ยาต้านไทรอยด์,1,,
criteria,     การกลืนน้ำแร่ที่มีรังสีไอโอดีน,1,,
criteria,     การผ่าตัดต่อมไทรอยด์,1,,
sub,      (ข้อละ 2 คะแนน),,,
item,2.4 อธิบายข้อดีของยาต้านไทรอยด์ ว่ายาออกฤทธิ์ลดการสร้างฮอร์โมนไทรอยด์ ไม่มีความเสี่ยงของการผ่าตัดหรือรังสี,4 2 0,,
sub,"    (ตอบสมบูรณ์ ให้ 4 คะแนน, ไม่สมบูรณ์ ให้ 2 คะแนน)",,,
item,2.5 อธิบายข้อเสียของยาต้านไทรอยด์ คือ ต้องกินยาอย่างน้อย 12 เดือน และหลังหยุดยามีโอกาสกลับมาเป็นซ้ำได้,4 2 0,,
sub,"    (ตอบสมบูรณ์ ให้ 4 คะแนน, ไม่สมบูรณ์ ให้ 2 คะแนน)",,,
item,2.6 อธิบายผลข้างเคียงของยาต้านไทรอยด์ (ตอบ 2-4 ข้อ ถือว่าสมบูรณ์) ได้แก่ ผลต่อเม็ดเลือดขาว ผลต่อตับ ผื่น ปวดข้อ,2 1 0,,
sub,"    (ตอบสมบูรณ์ ให้ 2 คะแนน, ไม่สมบูรณ์ ให้ 1 คะแนน)",,,
item,2.7  อธิบายข้อดีของการกลืนน้ำแร่ที่มีรังสีไอโอดีน คือ ไม่มีความเสี่ยงของการผ่าตัด และโอกาสกลับเป็นซ้ำต่ำ,4 2 0,,
sub,"    (ตอบสมบูรณ์ ให้ 4 คะแนน, ไม่สมบูรณ์ ให้ 2 คะแนน)",,,
item,2.8  อธิบายข้อเสียของการกลืนน้ำแร่ที่มีรังสีไอโอดีน คือ หลังกลืนแร่มีโอกาสเกิดภาวะไทรอยด์ทำงานต่ำ,4 0,,
item,2.9 อธิบายข้อดีของการผ่าตัดต่อมไทรอยด์ คือ โอกาสกลับเป็นซ้ำต่ำ,4 0,,
item,2.10 อธิบายข้อเสียของการผ่าตัดต่อมไทรอยด์ คือ มีความเสี่ยงของการผ่าตัด (ตอบ 3-4 ข้อ ถือว่าสมบูรณ์),4 2 0,3 1 0,
criteria,     ภาวะแทรกซ้อนทั่วไป เช่น เลือดออกหรือติดเชื้อ ,1,,
criteria,     เสียงแหบ (recurrent laryngeal nerve injury),1,,
criteria,     ภาวะพาราไทรอยด์ต่ำ (hypoparathyroidism),1,,
criteria,     มีโอกาสเกิดไทรอยด์ทำงานต่ำ,1,,
sub,         (ตอบ 3-4 ข้อ ถือว่าสมบูรณ์),,,
section,ตอนที่ 3. ทักษะการสื่อสาร (เกณฑ์ ศรว.) (15 คะแนน),,,
item,"3.1 แนะนำตนเอง (สวัสดี, เป็นใคร, ชื่ออะไร, มาทำอะไร)",2 0,,
item,3.2 ถามชื่อ และ นามสกุล ของผู้ป่วย,3 2 0,,
sub,"    (ตอบสมบูรณ์ ให้ 3 คะแนน, ไม่สมบูรณ์ ให้ 2 คะแนน)",,,
item,3.3 ใช้ภาษาที่เข้าใจง่าย และ ไม่ใช้ศัพท์แพทย์,3 2 0,,
sub,"    (ตอบสมบูรณ์ ให้ 3 คะแนน, ไม่สมบูรณ์ ให้ 2 คะแนน)",,,
item,3.4 ใช้ถ้อยคำที่สุภาพ,2 0,,
item,3.5 ใช้ภาษากาย (สบตา/พยักหน้า) อย่างเหมาะสม,2 1 0,,
item,3.6  เปิดโอกาสให้ผู้ป่วยซักถาม,3 0,,
item,กรรมการให้คะแนนภาพรวมผู้เข้าสอบ โดยกด criteria ข้างล่าง,0,,
sub,และกดให้คะแนน 0 เป็นการยืนยันด้วยครับ,,,
criteria,Outstanding,1,,
criteria,Excellent,1,,
criteria,Clearly passed,1,,
criteria,Borderline,-1,,
criteria,Clearly failed,-1,,